VERTEXES;EDGES;MAX_WEIGHT;;
16384;65536;16384;;
;;;;
SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2
14865;51161;17904;137124;63769
2081;76981;18970;94278;38356
14601;52065;17320;96107;36474
1734;48333;15705;88026;38472
8035;45439;15146;87944;40762
11815;39195;12351;79766;37718
135;43360;14714;82132;32213
750;39147;14289;94469;35669
14901;50662;13792;83036;38551
5891;48036;12879;77207;37899
9859;45826;13648;76867;32932
2722;45297;15330;85650;32956
14587;42802;14449;86658;39240
13337;40487;11636;78762;33700
10169;46210;15444;83240;36317
172;38998;13964;82329;37874
12985;47574;15598;83709;35578
668;46984;15141;74624;34854
14503;46702;13028;83971;36957
14233;45518;15593;84055;32802
2105;38339;13920;82096;37622
8454;44161;14591;86205;33908
11583;36111;12164;78497;36860
1460;41224;13235;79322;37319
2665;46026;14588;87213;35159
9041;38491;12696;89433;38490
5840;49502;14880;77018;31660
4241;40758;11302;80448;34323
11349;36750;12195;91331;33029
7659;39940;13582;87037;36839
2102;44285;16273;80305;31643
12632;40500;14372;84093;35810
15004;40991;14160;89930;38484
16384;46857;15316;84190;36308
573;42576;11638;77353;38066
9213;44549;12367;82542;31938
9196;40104;11731;77749;30706
9922;39861;12337;84473;36588
13813;40453;13039;87550;35010
12381;46627;14847;84710;35687
14266;38506;13016;81886;35225
12475;37313;11778;75068;33498
2106;42336;13366;77778;32371
11599;44310;13877;85679;34906
2998;44009;14389;77184;32598
2795;40250;12651;82402;37433
12630;43578;13070;81239;37416
8206;46154;15145;75669;33992
12433;44589;14567;80475;31988
16109;38819;11744;80703;36238
3848;45325;14741;83376;36404
4265;37168;11303;82412;35054
