k;i;MAX_FLOW;TIME;
3;1;5;470400;
3;2;6;362440;
3;3;6;315180;
4;1;10;305520;
4;2;12;330020;
4;3;13;315360;
4;4;14;320980;
5;1;21;352020;
5;2;24;413840;
5;3;26;439880;
5;4;27;466940;
5;5;30;505780;
6;1;41;597540;
6;2;49;710820;
6;3;52;751120;
6;4;54;862380;
6;5;55;886920;
6;6;59;993720;
7;1;80;1377740;
7;2;99;1773800;
7;3;104;1893420;
7;4;110;1976020;
7;5;116;2115240;
7;6;115;2157620;
7;7;115;2390520;
8;1;159;4068340;
8;2;194;5707160;
8;3;214;6930600;
8;4;218;7521880;
8;5;225;7952260;
8;6;232;8265040;
8;7;235;9263860;
8;8;238;9940400;
9;1;325;18287660;
9;2;396;25595080;
9;3;420;28051100;
9;4;438;31456300;
9;5;451;33919660;
9;6;461;34196480;
9;7;470;37887420;
9;8;474;40340520;
9;9;476;37734500;
10;1;648;82890360;
10;2;774;108010560;
10;3;846;133028800;
10;4;883;149998640;
10;5;905;151183600;
10;6;921;163119780;
10;7;931;174023640;
10;8;943;177794580;
10;9;950;184372680;
10;10;961;191279940;
